# PID  Density  Dens_err  Energy  En_err  Pressure  Pr_err
0.05  0.02577200  0.00364173  1.45078932  0.24293689  0.05106003  0.00846394
0.1  0.05311400  0.00532129  0.63039451  0.14608691  0.10430389  0.01383256
0.2  0.10907000  0.00756199  -0.06520299  0.07158769  0.21511721  0.02452008
0.5  0.28150000  0.01115336  -0.98656802  0.05904906  0.57029153  0.05648372
1.0  0.47089400  0.01128038  -1.75841475  0.05372705  1.11442596  0.09691314
2.0  0.62479600  0.01048160  -2.32346249  0.04938331  1.88603399  0.13562334
3.0  0.69772400  0.00980495  -2.57670046  0.04535968  2.38751310  0.15431788
5.0  0.79102000  0.00860360  -2.87903315  0.04201426  3.23853472  0.17909986
7.0  0.83184600  0.00793250  -3.00191732  0.04089587  3.68728499  0.18485798
10.0  0.88163200  0.00854171  -3.13733806  0.04184280  4.37089830  0.21135060
