# PID rho rho_err E E_err P P_err N N_err mu_ex displ% exch%
0.000395 0.00048060 0.00049310 -0.10191776 0.10332988 0.00037493 0.00038357   0.02160 N/A N/A
0.001185 0.00150440 0.00087775 -0.29346003 0.16572480 0.00116582 0.00070386   -0.01241 N/A N/A
0.001975 0.00255200 0.00114226 -0.46211088 0.19668249 0.00197379 0.00094460   -0.02653 N/A N/A
0.002765 0.00367360 0.00139457 -0.60362702 0.21248623 0.00281705 0.00119749   -0.04879 N/A N/A
0.003357 0.00457860 0.00156222 -0.70627545 0.21986910 0.00345092 0.00126676   -0.06976 N/A N/A
0.003950 0.00540140 0.00170703 -0.78246911 0.22269580 0.00408092 0.00143946   -0.07184 N/A N/A
0.004542 0.00625020 0.00185474 -0.84545825 0.22310303 0.00468055 0.00160699   -0.07688 N/A N/A
0.005135 0.22761020 0.07290102 -2.10409091 0.43550897 -0.05235240 0.05525023   -2.85473 N/A N/A
0.005925 0.75473240 0.01032756 -4.88645095 0.04740178 -0.10157435 0.10009764   -3.69923 N/A N/A
0.007900 0.80673660 0.00858584 -5.09128318 0.04281881 0.09522744 0.10734055   -3.52239 N/A N/A
0.011850 0.85498080 0.00765070 -5.28773273 0.03897828 0.34803841 0.11888652   -3.24449 N/A N/A
0.019750 0.88850260 0.00572208 -5.42190330 0.03136372 0.58683510 0.12400067   -2.86659 N/A N/A
0.039500 0.93155560 0.00535311 -5.59634693 0.03052058 0.95032608 0.13871888   -2.34993 N/A N/A
0.197500 1.01857758 0.00355995 -5.95163940 0.02721212 2.37113829 0.14910352   -1.13382 N/A N/A
