# PID  Density  Dens_err  Energy  En_err  Pressure  Pr_err
0.000395  0.00049900  0.00049764  0.16424923  0.16248938  0.00039640  0.00039734
0.001184  0.00148060  0.00086976  0.44273386  0.25261743  0.00117945  0.00073450
0.001973  0.00251060  0.00113593  0.69438905  0.29977339  0.00197398  0.00093765
0.002762  0.00357420  0.00136490  0.90233934  0.32404867  0.00281464  0.00116134
0.003354  0.00435400  0.00150091  1.04337085  0.33532686  0.00340638  0.00126054
0.003946  0.00515400  0.00164658  1.15861780  0.34095594  0.00400945  0.00141853
0.004538  0.00602140  0.00179060  1.26419432  0.34308023  0.00468888  0.00159433
0.005130  0.00686820  0.00191491  1.35066054  0.34255540  0.00532032  0.00168911
0.005919  0.00794280  0.00207750  1.43553404  0.33935248  0.00608855  0.00178925
0.007892  0.01109180  0.00248642  1.59392570  0.32349662  0.00850033  0.00233577
0.011839  0.01756660  0.00325051  1.61206785  0.29010760  0.01307418  0.00328763
0.019731  0.03423100  0.00505031  1.12936935  0.23974544  0.02347312  0.00535623
0.039462  0.93444520  0.00977763  -4.05431460  0.03775420  0.68782690  0.11217666
0.197311  1.12418440  0.00591071  -4.68175521  0.02518124  1.94870434  0.13789742
