# PID  Density  Dens_err  Energy  En_err  Pressure  Pr_err
0.01  0.01272  0.0135641  -3.14617  2.82376  0.0104032  0.0143898
0.02  0.751908  0.0443064  -4.76854  0.253308  0.119473  0.523248
0.05  0.824448  0.025305  -5.11667  0.160092  0.375848  0.538994
0.1  0.88572  0.0199672  -5.36705  0.144662  0.987244  0.582405
0.2  0.907224  0.0400425  -5.45429  0.204519  1.29606  0.740976
0.5  0.923436  0.0298049  -5.49673  0.169425  1.3494  0.762794
1.0  0.920304  0.0336707  -5.45345  0.182598  1.40071  0.709225
