# PID rho rho_err E E_err P P_err N N_err mu_ex displ% exch%
0.01 0.00790100 0.00200809 1.48349994 0.34108776 0.01014014 0.00280859   -0.03480 N/A N/A
0.02 0.01631780 0.00293887 1.69069318 0.28985152 0.02059741 0.00426370   -0.07656 N/A N/A
0.05 0.04494220 0.00511621 0.82343571 0.18411578 0.05458422 0.00868574   -0.20243 N/A N/A
0.08 0.08074380 0.00739469 0.17029914 0.11043818 0.09405657 0.01411251   -0.35310 N/A N/A
0.10 0.11046060 0.00893581 -0.13354186 0.08824195 0.12354922 0.01797653   -0.47041 N/A N/A
0.12 0.14559380 0.01079888 -0.39316040 0.08169733 0.15841999 0.02345887   -0.59240 N/A N/A
0.15 0.21127560 0.01397627 -0.77672416 0.08239525 0.21562636 0.03251767   -0.78636 N/A N/A
0.20 0.35724540 0.01706408 -1.47879925 0.08162108 0.34935267 0.05370160   -1.09521 N/A N/A
0.30 0.56266460 0.01399854 -2.33954133 0.06137706 0.64855963 0.08609794   -1.15865 N/A N/A
0.50 0.71408340 0.01067305 -2.92452946 0.04662269 1.13234419 0.11269300   -0.80438 N/A N/A
1.0 0.84023320 0.00863331 -3.37448436 0.03806926 1.85371076 0.13590510   -0.11477 N/A N/A
2.0 0.94250860 0.00812634 -3.70800771 0.03514393 2.72436170 0.16033493   0.63699 N/A N/A
5.0 1.04315538 0.00667019 -4.01387863 0.03024500 3.85011872 0.18456906   1.69627 N/A N/A
10.0 1.11256280 0.00683988 -4.21008780 0.03104349 4.89140872 0.20522079   2.51362 N/A N/A
