# PID  Density  Dens_err  Energy  En_err  Pressure  Pr_err
0.05  0.02650000  0.00374987  -1.07398099  0.14056770  0.05126886  0.00883306
0.1  0.05568400  0.00553431  -0.77769876  0.07102982  0.10474693  0.01533360
0.2  0.12458000  0.00882526  -0.87571587  0.05475507  0.21977781  0.02845607
0.5  0.35929000  0.01249239  -2.05804063  0.07549770  0.65118248  0.07812259
1.0  0.53951600  0.01062395  -2.98909110  0.06505401  1.27426745  0.12465026
2.0  0.65514000  0.00840292  -3.51634138  0.05262387  2.07124949  0.16199625
3.0  0.70484200  0.00743551  -3.72908851  0.04803782  2.54960484  0.16953514
5.0  0.77060800  0.00600879  -3.99334920  0.04367428  3.43537927  0.19069654
7.0  0.79261400  0.00742155  -4.07304239  0.04728468  3.78997926  0.20949612
10.0  0.83188000  0.00636972  -4.21986802  0.04345138  4.45879736  0.22716017
