# PID rho rho_err E E_err P P_err N N_err mu_ex displ% exch%
0.000395 0.00047600 0.00049079 0.15445244 0.15759943 0.00037682 0.00038746   0.02929 N/A N/A
0.001185 0.00151100 0.00088167 0.44967646 0.25421375 0.00119006 0.00069740   -0.01591 N/A N/A
0.001975 0.00249940 0.00112985 0.69097178 0.29906454 0.00196705 0.00093474   -0.00987 N/A N/A
0.002765 0.00358920 0.00136473 0.90530254 0.32422703 0.00280184 0.00111172   -0.03020 N/A N/A
0.003357 0.00440640 0.00150711 1.05481845 0.33624040 0.00345654 0.00130628   -0.03909 N/A N/A
0.003950 0.00519400 0.00165889 1.15205738 0.33970061 0.00403533 0.00139703   -0.04052 N/A N/A
0.004542 0.00606560 0.00178718 1.27045665 0.34295836 0.00470616 0.00151891   -0.05290 N/A N/A
0.005135 0.00688880 0.00191865 1.34851419 0.34205235 0.00533045 0.00175017   -0.05654 N/A N/A
0.005925 0.00796020 0.00206965 1.44461117 0.33941974 0.00612931 0.00179527   -0.05770 N/A N/A
0.007900 0.01104660 0.00248571 1.58572293 0.32345433 0.00846875 0.00235639   -0.08969 N/A N/A
0.011850 0.01762860 0.00325308 1.60798529 0.28900793 0.01307244 0.00320119   -0.13924 N/A N/A
0.019750 0.03469100 0.00513173 1.11750430 0.23920080 0.02375348 0.00546573   -0.27215 N/A N/A
0.039500 0.93688280 0.00969368 -4.06241493 0.03759669 0.70818958 0.11201348   -2.35449 N/A N/A
0.197500 1.13125239 0.00594994 -4.70416557 0.02516387 2.01146218 0.14136468   -1.21776 N/A N/A
