# PID rho rho_err E E_err P P_err N N_err mu_ex displ% exch%
0.01 0.00810180 0.00206294 -0.98955820 0.22114298 0.01016917 0.00286353   -0.06743 N/A N/A
0.02 0.01702420 0.00307014 -1.17430324 0.17947477 0.02077641 0.00443604   -0.13165 N/A N/A
0.05 0.05138900 0.00596044 -0.87199522 0.08320407 0.05639886 0.00989509   -0.37670 N/A N/A
0.08 0.11765940 0.01249108 -0.97853040 0.07611531 0.10223724 0.02065572   -0.84257 N/A N/A
0.10 0.26444380 0.02487786 -1.79720307 0.15149003 0.15313511 0.04563515   -1.60527 N/A N/A
0.12 0.46801180 0.01894476 -2.96350157 0.11058572 0.25861035 0.07877475   -2.11038 N/A N/A
0.15 0.56761380 0.01197423 -3.47919870 0.06887576 0.39933516 0.09460367   -2.07112 N/A N/A
0.20 0.64173820 0.00993714 -3.84645119 0.05703657 0.62240645 0.11106401   -1.85670 N/A N/A
0.30 0.71642400 0.00847908 -4.19486553 0.04812105 0.99475614 0.12869064   -1.47271 N/A N/A
0.50 0.77369060 0.00718395 -4.44416079 0.04262384 1.42225425 0.14132777   -0.90861 N/A N/A
1.0 0.84254560 0.00631690 -4.73184448 0.03886902 2.16288585 0.15963369   -0.11835 N/A N/A
2.0 0.89505920 0.00612569 -4.94116510 0.03599588 2.94974497 0.18332560   0.70414 N/A N/A
5.0 0.94457240 0.00504647 -5.11885831 0.03350481 3.85511925 0.19874503   1.82533 N/A N/A
10.0 0.97832340 0.00512191 -5.22688347 0.03317812 4.70969994 0.21493711   2.68078 N/A N/A
