# PID rho rho_err E E_err P P_err N N_err mu_ex displ% exch%
0.05 0.02645600 0.00378497 -1.08564828 0.14391884 0.05110092 0.00897055   -0.11321 N/A N/A
0.1 0.05606200 0.00563290 -0.78292826 0.07017504 0.10613148 0.01550829   -0.22887 N/A N/A
0.2 0.12585600 0.00878495 -0.88514471 0.05511949 0.22321717 0.02886692   -0.45994 N/A N/A
0.5 0.35421800 0.01267184 -2.04086025 0.07718815 0.62597027 0.07782669   -0.69690 N/A N/A
1.0 0.54161600 0.00934010 -2.98483846 0.05873102 1.27858247 0.12117955   -0.15990 N/A N/A
2.0 0.65519400 0.00845542 -3.51228677 0.05214001 2.06289773 0.15714457   0.84565 N/A N/A
3.0 0.70170400 0.00704165 -3.71279036 0.04675238 2.52760976 0.17026996   1.51942 N/A N/A
5.0 0.77158800 0.00705166 -3.99085098 0.04673517 3.42090721 0.20379469   2.35119 N/A N/A
7.0 0.79837200 0.00594605 -4.09267681 0.04493855 3.87162377 0.20174000   2.95589 N/A N/A
10.0 0.80986000 0.00580354 -4.14239048 0.04391748 4.04737380 0.20434976   3.64066 N/A N/A
