# PID rho rho_err E E_err P P_err N N_err mu_ex displ% exch%
0.05 0.02559000 0.00361450 1.49502038 0.24565773 0.05095530 0.00877600   -0.04665 N/A N/A
0.1 0.05274600 0.00517358 0.62839626 0.14411718 0.10416305 0.01427802   -0.10693 N/A N/A
0.2 0.10831800 0.00774671 -0.06463437 0.07038747 0.21097898 0.02425133   -0.15980 N/A N/A
0.5 0.27685600 0.01108060 -0.96711644 0.05919918 0.55934105 0.05449699   -0.20407 N/A N/A
1.0 0.46218800 0.01107188 -1.72652363 0.05344882 1.08881603 0.09225970   0.15727 N/A N/A
2.0 0.62278400 0.00933073 -2.31870109 0.04511265 1.86269254 0.13015287   0.94711 N/A N/A
3.0 0.70011400 0.00949096 -2.59293090 0.04453869 2.37805831 0.15064713   1.52395 N/A N/A
5.0 0.78017800 0.00890356 -2.84376056 0.04198537 3.18639353 0.17869597   2.32905 N/A N/A
7.0 0.83907000 0.00890616 -3.01035358 0.04119749 3.86087319 0.20058288   2.85645 N/A N/A
10.0 0.87155600 0.00921395 -3.11161972 0.04055696 4.27733763 0.21665857   3.49383 N/A N/A
